id_cliente;Recency;Frequency;Monetary;R_Score;F_Score;M_Score;RFM_Score;Cluster;Segmento;edad;ingresos_mensuales_aprox;segmento_programa;distrito
CLI00232;13;3;313.58;5;3;2;532;3;En Riesgo;49;5174.88;Platino;Ate
CLI00233;296;3;579.7;2;3;3;233;3;En Riesgo;35;9624.32;Regular;Magdalena
CLI00234;35;1;228.37;4;1;1;411;3;En Riesgo;56;6304.92;Premium;Los Olivos
CLI00235;144;5;1394.86;3;4;5;345;0;Leales;35;1347.78;Basico;San Borja
CLI00236;97;2;616.05;4;2;3;423;3;En Riesgo;71;6742.67;Premium;Miraflores
CLI00238;205;7;1381.2;3;5;5;355;0;Leales;27;2538.21;Basico;Los Olivos
CLI00239;424;2;580.6;1;2;3;123;2;Perdidos;40;11048.75;Platino;Comas
CLI00240;511;1;193.19;1;1;1;111;2;Perdidos;28;1896.77;Basico;San Juan de Lurigancho
CLI00243;15;3;624.34;5;3;3;533;3;En Riesgo;65;7504.25;Platino;San Borja
CLI00244;169;3;224.09;3;3;1;331;3;En Riesgo;25;9452.88;Platino;Magdalena
CLI00245;66;11;2808.36;4;5;5;455;1;Campeones;20;9851.81;Premium;San Borja
CLI00247;602;1;159.84;1;1;1;111;2;Perdidos;33;2538.35;Basico;Comas
CLI00249;535;1;128.68;1;1;1;111;2;Perdidos;57;9351.86;Platino;Magdalena
CLI00251;53;1;86.48;4;1;1;411;3;En Riesgo;55;6203.43;Platino;Magdalena
CLI00252;341;2;373.8;2;2;2;222;2;Perdidos;60;5668.84;Regular;San Borja
CLI00254;38;2;472.57;4;2;2;422;3;En Riesgo;66;7080.87;Premium;Magdalena
CLI00255;47;2;315.25;4;2;2;422;3;En Riesgo;29;11315.35;Regular;Miraflores
CLI00256;211;2;360.84;2;2;2;222;3;En Riesgo;29;3277.52;Regular;Santiago de Surco
CLI00257;25;4;1427.66;5;4;5;545;0;Leales;35;9089.45;Premium;San Miguel
CLI00258;252;5;946.08;2;4;4;244;0;Leales;58;6015.44;Regular;Los Olivos
CLI00261;61;3;383.07;4;3;2;432;3;En Riesgo;59;3174.53;Premium;Magdalena
CLI00262;6;8;1946.99;5;5;5;555;0;Leales;20;3640.24;Premium;Miraflores
CLI00264;257;1;97.03;2;1;1;211;3;En Riesgo;61;3403.24;Platino;Ate
CLI00265;12;2;443.46;5;2;2;522;3;En Riesgo;36;8355.98;Platino;Comas
CLI00266;207;1;79.68;3;1;1;311;3;En Riesgo;30;9494.78;Regular;Miraflores
CLI00267;544;1;566.18;1;1;3;113;2;Perdidos;42;1778.66;Basico;Ate
CLI00268;21;3;973.87;5;3;4;534;3;En Riesgo;27;7519.56;Premium;Ate
CLI00269;27;7;853.68;4;5;4;454;0;Leales;63;8973.14;Premium;Los Olivos
CLI00270;64;6;1854.26;4;5;5;455;0;Leales;37;9582.17;Premium;Santiago de Surco
CLI00271;375;3;270.56;2;3;2;232;2;Perdidos;40;11350.68;Platino;Ate
CLI00272;205;5;1448.02;3;4;5;345;0;Leales;45;1699.36;Basico;Los Olivos
CLI00273;32;3;370.12;4;3;2;432;3;En Riesgo;68;3381.01;Premium;Comas
CLI00274;182;1;205.28;3;1;1;311;3;En Riesgo;33;9904.73;Regular;Miraflores
CLI00275;10;9;1839.64;5;5;5;555;0;Leales;57;8082.91;Premium;Comas
CLI00276;96;1;230.12;4;1;1;411;3;En Riesgo;50;10706.8;Platino;Santiago de Surco
CLI00278;17;3;815.63;5;3;4;534;3;En Riesgo;63;8549.3;Premium;San Juan de Lurigancho
CLI00280;407;2;685.49;1;2;3;123;2;Perdidos;59;8283.83;Platino;San Juan de Lurigancho
CLI00282;154;1;358.48;3;1;2;312;3;En Riesgo;57;7062.93;Premium;Ate
CLI00283;94;2;532.61;4;2;3;423;3;En Riesgo;62;9273.15;Platino;Comas
CLI00285;8;2;504.59;5;2;3;523;3;En Riesgo;27;9039.33;Platino;Magdalena
CLI00286;370;4;870.98;2;4;4;244;2;Perdidos;24;1934.04;Basico;Miraflores
CLI00291;17;10;2567.52;5;5;5;555;1;Campeones;27;2930.69;Platino;Santiago de Surco
CLI00292;22;3;180.25;5;3;1;531;3;En Riesgo;66;8888.97;Premium;San Juan de Lurigancho
CLI00294;197;1;374.97;3;1;2;312;3;En Riesgo;27;7498.47;Premium;Comas
CLI00295;590;1;202.94;1;1;1;111;2;Perdidos;68;9708.94;Platino;San Borja
CLI00296;175;6;1851.39;3;5;5;355;0;Leales;60;2391.04;Basico;Ate
CLI00297;6;6;1102.42;5;5;4;554;0;Leales;54;11808.34;Platino;Miraflores
CLI00298;555;1;40.97;1;1;1;111;2;Perdidos;36;8073.33;Regular;Comas
CLI00301;377;1;111.76;2;1;1;211;2;Perdidos;58;9913.15;Platino;Ate
CLI00303;312;2;165.89;2;2;1;221;2;Perdidos;24;7424.28;Platino;Los Olivos
CLI00304;693;1;176.79;1;1;1;111;2;Perdidos;24;7118.32;Regular;Comas
CLI00305;61;4;1012.94;4;4;4;444;0;Leales;67;9856.6;Regular;Magdalena
CLI00306;189;6;1901.85;3;5;5;355;0;Leales;72;1073.28;Basico;Los Olivos
CLI00307;54;5;710.14;4;4;3;443;0;Leales;23;6024.46;Platino;Santiago de Surco
CLI00308;175;6;1484.83;3;5;5;355;0;Leales;21;11272.8;Premium;Magdalena
CLI00309;22;9;2952.18;5;5;5;555;1;Campeones;53;10185.42;Regular;Miraflores
CLI00310;302;4;1396.66;2;4;5;245;0;Leales;20;4143.06;Regular;Comas
CLI00312;345;2;421.55;2;2;2;222;2;Perdidos;68;2620.48;Basico;Santiago de Surco
CLI00313;215;1;63.82;2;1;1;211;3;En Riesgo;59;8608.28;Regular;San Juan de Lurigancho
CLI00314;25;1;151.1;5;1;1;511;3;En Riesgo;68;9378.28;Premium;Comas
CLI00315;173;1;133.3;3;1;1;311;3;En Riesgo;72;7842.14;Premium;San Borja
CLI00316;624;1;149.2;1;1;1;111;2;Perdidos;42;3039.55;Platino;Los Olivos
CLI00317;34;5;1390.73;4;4;5;445;0;Leales;70;9494.33;Premium;Los Olivos
CLI00318;367;2;457.05;2;2;2;222;2;Perdidos;40;7463.38;Regular;Miraflores
CLI00320;252;3;821.81;2;3;4;234;3;En Riesgo;64;9337.12;Premium;San Juan de Lurigancho
CLI00321;222;1;26.38;2;1;1;211;3;En Riesgo;72;4475.27;Platino;San Juan de Lurigancho
CLI00323;100;1;275.11;4;1;2;412;3;En Riesgo;55;4104.97;Regular;San Miguel
CLI00324;44;3;611.0;4;3;3;433;3;En Riesgo;64;8591.28;Premium;Santiago de Surco
CLI00325;199;4;968.02;3;4;4;344;3;En Riesgo;58;8816.27;Regular;Santiago de Surco
CLI00326;163;4;776.84;3;4;3;343;3;En Riesgo;27;7435.13;Regular;San Borja
CLI00327;381;1;139.46;2;1;1;211;2;Perdidos;63;2488.9;Basico;San Miguel
CLI00328;385;3;336.96;2;3;2;232;2;Perdidos;63;1396.06;Basico;San Borja
CLI00329;6;1;275.6;5;1;2;512;3;En Riesgo;72;5686.35;Premium;Ate
CLI00330;37;8;1544.51;4;5;5;455;0;Leales;42;2942.78;Regular;San Juan de Lurigancho
CLI00331;156;2;191.14;3;2;1;321;3;En Riesgo;37;10324.86;Platino;Santiago de Surco
CLI00333;55;3;333.07;4;3;2;432;3;En Riesgo;47;7850.86;Regular;Miraflores
CLI00334;257;1;120.13;2;1;1;211;3;En Riesgo;73;7713.15;Premium;San Miguel
CLI00335;38;4;844.97;4;4;4;444;3;En Riesgo;66;9328.37;Platino;Comas
CLI00336;5;1;114.28;5;1;1;511;3;En Riesgo;20;9395.8;Regular;San Juan de Lurigancho
CLI00337;374;2;287.82;2;2;2;222;2;Perdidos;46;2307.04;Basico;Santiago de Surco
CLI00341;184;2;498.71;3;2;3;323;3;En Riesgo;60;3074.27;Platino;Santiago de Surco
CLI00343;40;5;2022.77;4;4;5;445;0;Leales;27;8673.4;Premium;Santiago de Surco
CLI00344;171;5;1193.29;3;4;4;344;0;Leales;68;2106.45;Basico;Los Olivos
CLI00345;572;1;342.37;1;1;2;112;2;Perdidos;18;10064.77;Premium;Ate
CLI00347;138;8;2323.37;3;5;5;355;1;Campeones;29;5540.73;Platino;Comas
CLI00348;549;1;16.94;1;1;1;111;2;Perdidos;60;1309.59;Basico;San Borja
CLI00350;173;1;193.46;3;1;1;311;3;En Riesgo;18;5807.06;Regular;Comas
CLI00351;556;1;325.32;1;1;2;112;2;Perdidos;27;10817.97;Platino;Comas
CLI00352;543;3;416.39;1;3;2;132;2;Perdidos;55;1988.22;Basico;Magdalena
CLI00353;16;8;1497.77;5;5;5;555;0;Leales;71;3170.5;Regular;Comas
CLI00354;159;2;621.11;3;2;3;323;3;En Riesgo;21;10326.93;Regular;Miraflores
CLI00355;30;8;1658.4;4;5;5;455;0;Leales;64;4791.14;Regular;Miraflores
CLI00356;19;4;664.89;5;4;3;543;3;En Riesgo;24;5807.42;Platino;Magdalena
CLI00358;478;2;482.92;1;2;3;123;2;Perdidos;23;4576.72;Platino;San Miguel
CLI00359;156;1;321.69;3;1;2;312;3;En Riesgo;44;7159.49;Platino;San Juan de Lurigancho
CLI00361;628;1;174.74;1;1;1;111;2;Perdidos;62;2662.22;Basico;Comas
CLI00362;17;12;2561.89;5;5;5;555;1;Campeones;27;6902.12;Regular;Miraflores
CLI00367;528;2;533.07;1;2;3;123;2;Perdidos;64;8963.77;Regular;Ate
CLI00368;566;1;202.74;1;1;1;111;2;Perdidos;59;10324.1;Regular;Miraflores
CLI00372;59;14;3057.59;4;5;5;455;1;Campeones;30;4309.63;Regular;San Miguel
CLI00375;297;2;444.81;2;2;2;222;3;En Riesgo;48;5608.98;Premium;Ate
CLI00378;4;9;1756.46;5;5;5;555;0;Leales;39;6549.29;Platino;San Borja
CLI00379;410;1;289.24;1;1;2;112;2;Perdidos;62;9911.46;Regular;Santiago de Surco
CLI00380;123;1;122.75;4;1;1;411;3;En Riesgo;62;2474.03;Basico;Miraflores
CLI00383;173;3;616.78;3;3;3;333;3;En Riesgo;31;10673.64;Platino;Comas
CLI00385;382;1;51.12;2;1;1;211;2;Perdidos;67;11781.1;Platino;San Borja
CLI00387;265;4;1281.08;2;4;4;244;0;Leales;44;3508.02;Platino;Magdalena
CLI00389;7;1;191.91;5;1;1;511;3;En Riesgo;55;10544.15;Platino;San Borja
CLI00390;151;5;1612.06;3;4;5;345;0;Leales;42;8488.41;Platino;Ate
CLI00391;9;4;1529.57;5;4;5;545;0;Leales;21;10727.57;Premium;San Borja
CLI00392;173;3;516.07;3;3;3;333;3;En Riesgo;32;1633.18;Basico;San Juan de Lurigancho
CLI00395;133;4;935.88;3;4;4;344;3;En Riesgo;63;2660.99;Basico;Miraflores
CLI00396;31;18;3833.18;4;5;5;455;1;Campeones;34;9339.59;Regular;San Juan de Lurigancho
CLI00397;135;4;928.23;3;4;4;344;3;En Riesgo;24;2001.13;Basico;San Borja
CLI00398;176;1;213.34;3;1;1;311;3;En Riesgo;40;11928.67;Regular;Ate
CLI00399;459;1;167.42;1;1;1;111;2;Perdidos;65;10950.77;Regular;San Borja
CLI00400;16;9;1638.33;5;5;5;555;0;Leales;64;5859.63;Regular;San Borja
